,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
20,21,2015-11-11,600857,宁波中百,买入,18.1,18.1,2200.0,39820.0,9.16,39829.2,华泰证券,A 股,股票,股票,151,无
21,22,2015-11-11,600857,宁波中百,买入,18.4,18.4,9000.0,165600.0,38.09,165638.0,华泰证券,A 股,股票,股票,151,无
22,23,2015-11-16,600857,宁波中百,买入,17.5,17.5,600.0,10500.0,5.21,10505.2,华泰证券,A 股,股票,股票,151,无
27,28,2016-01-07,600857,宁波中百,买入,17.43,17.43,1200.0,20916.0,5.42,20921.4,华泰证券,A 股,股票,股票,151,无
30,31,2016-01-08,600857,宁波中百,卖出,17.32,17.32,3000.0,51960.0,63.91,51896.1,华泰证券,A 股,股票,股票,151,无
31,32,2016-01-08,600857,宁波中百,卖出,17.45,17.45,10000.0,174500.0,214.65,174285.0,华泰证券,A 股,股票,股票,151,无
